user_id,item_id,time
0,0,887673600
0,1,890697600
0,19,952214400
0,28,951350400
0,35,1018483200
0,38,946684800
0,39,987120000
0,42,955238400
0,45,961804800
0,47,964224000
0,53,1059696000
1,2,893289600
1,3,893289600
1,4,893289600
1,13,896054400
1,14,898041600
1,15,898732800
1,16,899769600
1,18,903916800
1,20,957225600
1,23,910569600
1,25,921196800
1,46,960940800
2,5,893462400
2,9,893980800
2,10,893980800
2,11,894326400
2,24,990748800
2,32,1023148800
2,36,959817600
2,40,960854400
2,41,1025568000
2,43,963705600
2,44,963705600
2,48,965865600
2,49,979171200
2,51,1166400000
3,6,893721600
3,7,893721600
3,30,947721600
3,31,944697600
3,33,947203200
3,34,947203200
3,37,946339200
3,50,1036886400
3,52,1045526400
3,54,1108080000
3,55,1182038400
3,56,1217462400
4,8,893894400
4,12,921801600
4,17,921801600
4,21,921801600
4,22,921801600
4,26,921888000
4,27,921888000
4,29,925257600
